Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Árabe VI,86351,LLE3022,TP1,S2,Badr Younis Youssef Hassanien,18:30-20:00,,,18:30-20:00,,
Árabe VI,86351,LLE3022,TP1 - ZOOM,S2,Badr Younis Youssef Hassanien,,,,,18:30-20:00,
Arménio I (A1.1),87250,LLE1281,TP1,S1,Lia Khachikyan,,18:30-20:00,18:30-20:00,,,
Arménio I (A1.1),87250,LLE1281,TP1 - ZOOM,S1,Lia Khachikyan,,,,18:30-20:00,,
Arménio II (A1.2),87252,LLE1282,TP1,S2,Lia Khachikyan,,18:30-20:00,18:30-20:00,,,
Arménio II (A1.2),87252,LLE1282,TP1 - ZOOM,S2,Lia Khachikyan,,,,18:30-20:00,,
Arménio III (A2),87253,LLE1283,TP1,S1,Lia Khachikyan,,17:00-18:30,17:00-18:30,,,
Arménio III (A2),87253,LLE1283,TP1 - ZOOM,S1,Lia Khachikyan,,,,17:00-18:30,,
Unidades Curriculares,Código Fénix,"NovaCodificação",Turno,Semestre,Docentes,2.a,3.a,4.a,5.a,6.a,Sáb
Arménio IV (B1.1),87254,LLE2281,TP1,S2,Lia Khachikyan,,17:00-18:30,17:00-18:30,,,
Arménio IV (B1.1),87254,LLE2281,TP1 - ZOOM,S2,Lia Khachikyan,,,,17:00-18:30,,
Arqueologia da Antiguidade Tardia,76350,HIS2013,TP1 - ZOOM,S2,Carlos Jorge Gonçalves Soares Fabião/Carlos Samuel Pires Pereira,,12:30-14:00,,,,
Arqueologia da Antiguidade Tardia,76350,HIS2013,TP1A,S2,Carlos Jorge Gonçalves Soares Fabião/Carlos Samuel Pires Pereira,11:00-12:30,,,,,
Arqueologia da Antiguidade Tardia,76350,HIS2013,TP1B,S2,Carlos Jorge Gonçalves Soares Fabião/Carlos Samuel Pires Pereira,12:30-14:00,,,,,
Arqueologia da Conquista Romana,76282,HIS2014,TP1 - ZOOM,S2,Carlos Jorge Gonçalves Soares Fabião/Carlos Samuel Pires Pereira,,11:00-12:30,,,,
Arqueologia da Conquista Romana,76282,HIS2014,TP1A,S2,Carlos Jorge Gonçalves Soares Fabião/Carlos Samuel Pires Pereira,,,,,08:00-09:30,
Arqueologia da Conquista Romana,76282,HIS2014,TP1B,S2,Carlos Jorge Gonçalves Soares Fabião/Carlos Samuel Pires Pereira,,,,,09:30-11:00,
Arqueologia do Mundo Provincial Romano,76313,HIS2015,TP1 - ZOOM,S1,Catarina Ferrer Dias Viegas Taveira/Jesus Acero Pérez,,,09:30-11:00,,,
Arqueologia do Mundo Provincial Romano,76313,HIS2015,TP1A,S1,Catarina Ferrer Dias Viegas Taveira/Jesus Acero Pérez,09:30-11:00,,,,,
Arqueologia do Mundo Provincial Romano,76313,HIS2015,TP1B,S1,Catarina Ferrer Dias Viegas Taveira/Jesus Acero Pérez,11:00-12:30,,,,,
Arqueologia do Próximo Oriente Antigo,76285,HIS2016,TP1,S2,Elisa Rosa Barbosa de Sousa,14:00-15:30,,,,,
Arqueologia do Próximo Oriente Antigo,76285,HIS2016,TP1 - ZOOM,S2,Elisa Rosa Barbosa de Sousa,,,,17:00-18:30,,
Arqueologia Islâmica,76372,HIS2017,TP1 - ZOOM,S2,Catarina Ferrer Dias Viegas Taveira,,17:00-18:30,,,,
Arqueologia Islâmica,76372,HIS2017,TP1A,S2,Catarina Ferrer Dias Viegas Taveira,11:00-12:30,,,,,
Arqueologia Islâmica,76372,HIS2017,TP1B,S2,Catarina Ferrer Dias Viegas Taveira,12:30-14:00,,,,,
Arqueologia Subaquática,HIS2165,HIS2165,TP1,S2,Augusto Salgado/Carlos Jorge Gonçalves Soares Fabião,15:30-17:00,,,,,
Arqueologia Subaquática,HIS2165,HIS2165,TP1 - ZOOM,S2,Augusto Salgado/Carlos Jorge Gonçalves Soares Fabião,,14:00-15:30,,,,
Arte Clássica,77777,HIS2018,TP1 - ZOOM,S1,Nuno Manuel Simões Rodrigues,,,,,09:30-11:00,
Arte Clássica,77777,HIS2018,TP1A,S1,Nuno Manuel Simões Rodrigues,,,,09:30-11:00,,
Arte Clássica,77777,HIS2018,TP1B,S1,Nuno Manuel Simões Rodrigues,,,,11:00-12:30,,
Arte Clássica,77777,HIS2018,TP2 - ZOOM,S1,Vanessa Henriques Antunes,,,,,12:30-14:00,
Arte Clássica,77777,HIS2018,TP2A,S1,Vanessa Henriques Antunes,,,,12:30-14:00,,
Arte Clássica,77777,HIS2018,TP2B,S1,Vanessa Henriques Antunes,,,,14:00-15:30,,
